language;id;type;category;front;back;hint;example
farsi;58;verb;basic;فهمیدن;verstehen;fahmidan;من فارسی می‌فهمم
farsi;59;verb;basic;یاد گرفتن;lernen;yad gereftan;من فارسی یاد می‌گیرم
farsi;60;verb;basic;کار کردن;arbeiten;kar kardan;او زیاد کار می‌کند
farsi;61;verb;basic;خوابیدن;schlafen;khabidan;بچه خوابیده است
farsi;62;verb;basic;بازی کردن;spielen;bazi kardan;آنها فوتبال بازی می‌کنند
farsi;63;verb;basic;خندیدن;lachen;khandidan;او بلند می‌خندد
farsi;64;verb;basic;گریه کردن;weinen;gerye kardan;بچه گریه می‌کند
farsi;65;verb;basic;دویدن;rennen;davidan;او سریع می‌دود
farsi;66;verb;basic;نشستن;sitzen;neshastan;من روی صندلی نشسته‌ام
farsi;67;verb;basic;ایستادن;stehen;istadan;او کنار در ایستاده است
farsi;68;verb;basic;باز کردن;öffnen;baz kardan;در را باز کن
farsi;69;verb;basic;بستن;schließen;bastan;پنجره را ببند
farsi;70;verb;basic;کمک کردن;helfen;komak kardan;او به من کمک کرد
farsi;71;verb;basic;خریدن;kaufen;kharidan;من نان خریدم
farsi;72;verb;basic;فروختن;verkaufen;forookhtan;او ماشین فروخت
farsi;73;verb;basic;گرفتن;nehmen;gereftan;کتاب را گرفتم
farsi;74;verb;basic;دادن;geben;dadan;او پول داد
farsi;75;verb;basic;ماندن;bleiben;mandan;من خانه می‌مانم
farsi;76;verb;basic;شروع کردن;beginnen;shoroo kardan;کلاس شروع شد
farsi;77;verb;basic;تمام کردن;beenden;tamam kardan;من کار را تمام کردم
farsi;78;verb;basic;پرسیدن;fragen;porsidan;او سوال پرسید
farsi;79;verb;basic;جواب دادن;antworten;javab dadan;من جواب دادم
farsi;80;verb;basic;زندگی کردن;leben;zendegi kardan;ما در وین زندگی می‌کنیم
farsi;81;word;emotion;خوشحال;glücklich;khoshhal;من خوشحال هستم
farsi;82;word;emotion;غمگین;traurig;ghamgin;او غمگین است
farsi;83;word;emotion;عصبانی;wütend;asabani;او عصبانی شد
farsi;84;word;emotion;خسته;müde;khaste;من خسته هستم
farsi;85;word;emotion;گرسنه;hungrig;gorosne;من گرسنه‌ام
farsi;86;word;emotion;تشنه;durstig;teshne;او تشنه است
farsi;87;word;emotion;ترسیده;ängstlich;tarside;بچه ترسیده است
farsi;88;word;emotion;آرام;ruhig;aram;هوا آرام است
farsi;89;word;place;ایران;Iran;iran;من اهل ایران هستم
farsi;90;word;place;آلمان;Deutschland;alman;آلمان بزرگ است
farsi;91;word;place;اتریش;Österreich;otrich;من در اتریش زندگی می‌کنم
farsi;92;word;place;وین;Wien;vien;وین زیباست
farsi;93;word;place;بازار;Markt;bazar;بازار شلوغ است
farsi;94;word;place;رستوران;Restaurant;restaurant;رستوران خوب است
farsi;95;word;place;بیمارستان;Krankenhaus;bimarestan;بیمارستان نزدیک است
farsi;96;word;place;فرودگاه;Flughafen;foroodgah;فرودگاه بزرگ است
farsi;97;word;place;پارک;Park;park;پارک آرام است
farsi;98;word;place;بانک;Bank;bank;بانک بسته است
farsi;99;word;place;ایستگاه;Station;istgah;ایستگاه اینجاست
farsi;100;word;place;هتل;Hotel;hotel;هتل گران است
farsi;101;sentence;sentences;من فارسی یاد می‌گیرم;Ich lerne Farsi;man farsi yad migiram;من فارسی یاد می‌گیرم
farsi;102;sentence;sentences;حال شما چطور است؟;Wie geht es Ihnen?;hale shoma chetor ast;سلام، حال شما چطور است؟
farsi;103;sentence;sentences;من آب می‌خواهم;Ich möchte Wasser;man ab mikhaham;لطفا، من آب می‌خواهم
farsi;104;sentence;sentences;این خانه بزرگ است;Dieses Haus ist groß;in khane bozorg ast;این خانه بزرگ است
farsi;105;sentence;sentences;من خسته هستم;Ich bin müde;man khaste hastam;امروز من خسته هستم
farsi;106;sentence;sentences;من گرسنه هستم;Ich bin hungrig;man gorosne hastam;من خیلی گرسنه هستم
farsi;107;sentence;sentences;من تشنه هستم;Ich bin durstig;man teshne hastam;بعد از ورزش تشنه هستم
farsi;108;sentence;sentences;تو کجا هستی؟;Wo bist du?;to koja hasti;سلام، تو کجا هستی؟
farsi;109;sentence;sentences;من در خانه هستم;Ich bin zuhause;man dar khane hastam;امروز من در خانه هستم
farsi;110;sentence;sentences;من به مدرسه می‌روم;Ich gehe zur Schule;man be madrese miravam;صبح من به مدرسه می‌روم
farsi;111;sentence;sentences;او چای می‌نوشد;Er/Sie trinkt Tee;u chay minushad;او هر روز چای می‌نوشد
farsi;112;sentence;sentences;من کتاب می‌خوانم;Ich lese ein Buch;man ketab mikhanam;شب من کتاب می‌خوانم
farsi;113;sentence;sentences;این غذا خوشمزه است;Dieses Essen ist lecker;in ghaza khoshmaze ast;این غذا خیلی خوشمزه است
farsi;114;sentence;sentences;من پول ندارم;Ich habe kein Geld;man pool nadaram;امروز من پول ندارم
farsi;115;sentence;sentences;لطفا کمک کن;Bitte hilf mir;lotfan komak kon;لطفا به من کمک کن
farsi;116;sentence;sentences;من متوجه نمی‌شوم;Ich verstehe nicht;man motevajeh nemishavam;ببخشید، من متوجه نمی‌شوم
farsi;117;sentence;sentences;آیا انگلیسی صحبت می‌کنی؟;Sprichst du Englisch?;aya englisi sohbat mikoni;آیا انگلیسی صحبت می‌کنی؟
farsi;118;sentence;sentences;من فارسی کم صحبت می‌کنم;Ich spreche wenig Farsi;man farsi kam sohbat mikonam;من فارسی کم صحبت می‌کنم
farsi;119;sentence;sentences;اسم من نیکوس است;Mein Name ist Nikos;esme man Nikos ast;سلام، اسم من نیکوس است
farsi;120;sentence;sentences;از دیدنت خوشحالم;Schön dich zu sehen;az didanet khoshhalam;سلام، از دیدنت خوشحالم
farsi;121;sentence;sentences;امروز هوا خوب است;Heute ist das Wetter gut;emrooz hava khoob ast;امروز هوا خیلی خوب است
farsi;122;sentence;sentences;من کار دارم;Ich habe Arbeit zu tun;man kar daram;امروز من کار دارم
farsi;123;sentence;sentences;این خیلی مهم است;Das ist sehr wichtig;in kheili mohem ast;این موضوع خیلی مهم است
farsi;124;sentence;sentences;من نمی‌دانم;Ich weiß nicht;man nemidanam;ببخشید، من نمی‌دانم
farsi;125;sentence;sentences;بعدا می‌بینمت;Ich sehe dich später;badam mibinamet;خداحافظ، بعدا می‌بینمت

greek;101;word;greeting;γεια;Hallo;gia;γεια σου φίλε
greek;102;word;farewell;αντίο;Tschüss;adio;αντίο φίλε μου
greek;103;word;basic;ναι;Ja;ne;ναι σωστά
greek;104;word;basic;όχι;Nein;ochi;όχι ευχαριστώ
greek;105;word;basic;ευχαριστώ;Danke;efcharisto;ευχαριστώ πολύ
greek;106;word;basic;παρακαλώ;Bitte;parakalo;παρακαλώ βοήθησέ με
greek;107;word;food;νερό;Wasser;nero;θέλω νερό
greek;108;word;food;ψωμί;Brot;psomi;το ψωμί είναι φρέσκο
greek;109;word;food;τσάι;Tee;tsai;μου αρέσει το τσάι
greek;110;word;food;καφές;Kaffee;kafes;ο καφές είναι ζεστός
greek;111;word;food;ρύζι;Reis;rizi;το ρύζι είναι έτοιμο
greek;112;word;food;κρέας;Fleisch;kreas;το κρέας είναι φρέσκο
greek;113;word;food;μήλο;Apfel;milo;το μήλο είναι κόκκινο
greek;114;word;food;μπανάνα;Banane;banana;η μπανάνα είναι γλυκιά
greek;115;word;food;γάλα;Milch;gala;το γάλα είναι κρύο
greek;116;word;food;τυρί;Käse;tiri;το τυρί είναι νόστιμο
greek;117;word;daily;σπίτι;Haus;spiti;το σπίτι μου είναι μεγάλο
greek;118;word;daily;αυτοκίνητο;Auto;aftokinito;το αυτοκίνητο είναι νέο
greek;119;word;daily;σχολείο;Schule;scholio;το σχολείο είναι κοντά
greek;120;word;daily;πανεπιστήμιο;Universität;panepistimio;το πανεπιστήμιο είναι μεγάλο
greek;121;word;daily;φίλος;Freund;filos;ο φίλος μου είναι καλός
greek;122;word;daily;οικογένεια;Familie;ikogenia;η οικογένειά μου είναι εδώ
greek;123;word;daily;δουλειά;Arbeit;doulia;η δουλειά είναι δύσκολη
greek;124;word;daily;βιβλίο;Buch;vivlio;το βιβλίο είναι καινούριο
greek;125;word;daily;κινητό;Handy;kinito;το κινητό μου είναι εδώ
greek;126;word;daily;χρήματα;Geld;chrimata;δεν έχω χρήματα
greek;127;word;daily;χρόνος;Zeit;chronos;ο χρόνος περνά γρήγορα
greek;128;word;daily;μέρα;Tag;mera;σήμερα είναι καλή μέρα
greek;129;word;daily;νύχτα;Nacht;nichta;η νύχτα είναι ήρεμη
greek;130;word;daily;πρωί;Morgen;proi;καλό πρωί
greek;131;verb;basic;πηγαίνω;gehen;pigeno;πηγαίνω σπίτι
greek;132;verb;basic;έρχομαι;kommen;erchome;έρχομαι αύριο
greek;133;verb;basic;τρώω;essen;troo;τρώω ψωμί
greek;134;verb;basic;πίνω;trinken;pino;πίνω νερό
greek;135;verb;basic;βλέπω;sehen;vlepo;βλέπω ταινία
greek;136;verb;basic;ακούω;hören;akouo;ακούω μουσική
greek;137;verb;basic;λέω;sagen;leo;λέω την αλήθεια
greek;138;verb;basic;διαβάζω;lesen;diavazo;διαβάζω βιβλίο
greek;139;verb;basic;γράφω;schreiben;grafo;γράφω γράμμα
greek;140;verb;basic;έχω;haben;echo;έχω αυτοκίνητο
greek;141;verb;basic;θέλω;wollen;thelo;θέλω φαγητό
greek;142;verb;basic;αγαπώ;mögen;agapo;αγαπώ το τσάι
greek;143;verb;basic;καταλαβαίνω;verstehen;katalaveno;καταλαβαίνω ελληνικά
greek;144;verb;basic;μαθαίνω;lernen;matheno;μαθαίνω ελληνικά
greek;145;verb;basic;δουλεύω;arbeiten;doulevo;δουλεύω πολύ
greek;146;verb;basic;κοιμάμαι;schlafen;kimame;το παιδί κοιμάται
greek;147;verb;basic;παίζω;spielen;pezo;παίζω ποδόσφαιρο
greek;148;verb;basic;γελάω;lachen;gelao;γελάω δυνατά
greek;149;verb;basic;τρέχω;rennen;trecho;τρέχω γρήγορα
greek;150;verb;basic;βοηθάω;helfen;voithao;βοηθάω τον φίλο μου
greek;151;sentence;sentences;μαθαίνω ελληνικά;Ich lerne Griechisch;matheno ellinika;μαθαίνω ελληνικά κάθε μέρα
greek;152;sentence;sentences;πώς είσαι;Wie geht es dir;pos ise;γεια πώς είσαι
greek;153;sentence;sentences;θέλω νερό;Ich möchte Wasser;thelo nero;παρακαλώ θέλω νερό
greek;154;sentence;sentences;είμαι κουρασμένος;Ich bin müde;ime kurasmenos;σήμερα είμαι κουρασμένος
greek;155;sentence;sentences;πεινάω πολύ;Ich bin sehr hungrig;pináo poli;σήμερα πεινάω πολύ
greek;156;sentence;sentences;διψάω;Ich habe Durst;dipsao;μετά το γυμναστήριο διψάω
greek;157;sentence;sentences;πού είσαι;Wo bist du;pu ise;γεια πού είσαι
greek;158;sentence;sentences;είμαι στο σπίτι;Ich bin zuhause;ime sto spiti;σήμερα είμαι στο σπίτι
greek;159;sentence;sentences;πηγαίνω σχολείο;Ich gehe zur Schule;pigeno scholio;κάθε πρωί πηγαίνω σχολείο
greek;160;sentence;sentences;πίνω τσάι;Ich trinke Tee;pino tsai;κάθε μέρα πίνω τσάι
greek;161;sentence;sentences;διαβάζω βιβλίο;Ich lese ein Buch;diavazo vivlio;το βράδυ διαβάζω βιβλίο
greek;162;sentence;sentences;το φαγητό είναι νόστιμο;Das Essen ist lecker;to fagito ine nostimo;το φαγητό είναι πολύ νόστιμο
greek;163;sentence;sentences;δεν έχω χρήματα;Ich habe kein Geld;den echo chrimata;σήμερα δεν έχω χρήματα
greek;164;sentence;sentences;παρακαλώ βοήθησέ με;Bitte hilf mir;parakalo voithise me;σε παρακαλώ βοήθησέ με
greek;165;sentence;sentences;δεν καταλαβαίνω;Ich verstehe nicht;den katalaveno;συγγνώμη δεν καταλαβαίνω
greek;166;sentence;sentences;μιλάς αγγλικά;Sprichst du Englisch;milas anglika;μιλάς αγγλικά
greek;167;sentence;sentences;μιλάω λίγα ελληνικά;Ich spreche wenig Griechisch;milao liga ellinika;μιλάω λίγα ελληνικά
greek;168;sentence;sentences;με λένε Νίκο;Mein Name ist Nikos;me lene niko;γεια με λένε Νίκο
greek;169;sentence;sentences;χαίρομαι που σε βλέπω;Schön dich zu sehen;cherome pu se vlepo;χαίρομαι που σε βλέπω
greek;170;sentence;sentences;σήμερα έχει καλό καιρό;Heute ist gutes Wetter;simera echi kalo kero;σήμερα έχει πολύ καλό καιρό
greek;171;word;daily;πόρτα;Tür;porta;η πόρτα είναι ανοιχτή
greek;172;word;daily;παράθυρο;Fenster;parathyro;το παράθυρο είναι κλειστό
greek;173;word;daily;δωμάτιο;Zimmer;domatio;το δωμάτιο είναι καθαρό
greek;174;word;daily;τραπέζι;Tisch;trapezi;το βιβλίο είναι πάνω στο τραπέζι
greek;175;word;daily;καρέκλα;Stuhl;karekla;η καρέκλα είναι άνετη
greek;176;word;daily;δρόμος;Straße;dromos;ο δρόμος είναι μεγάλος
greek;177;word;daily;πόλη;Stadt;poli;η πόλη είναι όμορφη
greek;178;word;daily;μαγαζί;Geschäft;magazi;το μαγαζί είναι ανοιχτό
greek;179;word;daily;εστιατόριο;Restaurant;estiatorio;το εστιατόριο είναι καλό
greek;180;word;daily;τράπεζα;Bank;trapeza;η τράπεζα είναι κλειστή
greek;181;word;emotion;χαρούμενος;glücklich;charoumenos;είμαι πολύ χαρούμενος
greek;182;word;emotion;λυπημένος;traurig;lipimenos;είμαι λίγο λυπημένος
greek;183;word;emotion;θυμωμένος;wütend;thimomenos;είμαι θυμωμένος σήμερα
greek;184;word;emotion;κουρασμένος;müde;kourasmenos;είμαι πολύ κουρασμένος
greek;185;word;emotion;ήρεμος;ruhig;iremos;η θάλασσα είναι ήρεμη
greek;186;verb;basic;αγοράζω;kaufen;agorazo;αγοράζω ψωμί
greek;187;verb;basic;πουλάω;verkaufen;poulao;πουλάω το αυτοκίνητο
greek;188;verb;basic;δίνω;geben;dino;δίνω χρήματα
greek;189;verb;basic;παίρνω;nehmen;perno;παίρνω το βιβλίο
greek;190;verb;basic;μένω;bleiben;meno;μένω στο σπίτι
greek;191;verb;basic;ανοίγω;öffnen;anigo;ανοίγω την πόρτα
greek;192;verb;basic;κλείνω;schließen;klino;κλείνω το παράθυρο
greek;193;verb;basic;ρωτάω;fragen;rotao;ρωτάω μια ερώτηση
greek;194;verb;basic;απαντάω;antworten;apandao;απαντάω γρήγορα
greek;195;verb;basic;ζω;leben;zo;ζω στην Αθήνα
greek;196;sentence;sentences;μένω στην Αθήνα;Ich lebe in Athen;meno stin athina;μένω στην Αθήνα με την οικογένειά μου
greek;197;sentence;sentences;αγοράζω ψωμί;Ich kaufe Brot;agorazo psomi;κάθε πρωί αγοράζω ψωμί
greek;198;sentence;sentences;θέλω καφέ;Ich möchte Kaffee;thelo kafe;το πρωί θέλω καφέ
greek;199;sentence;sentences;η πόρτα είναι κλειστή;Die Tür ist geschlossen;i porta ine klisti;σήμερα η πόρτα είναι κλειστή
greek;200;sentence;sentences;είμαι πολύ χαρούμενος σήμερα;Ich bin heute sehr glücklich;ime poli charoumenos simera;είμαι πολύ χαρούμενος σήμερα
greek;201;sentence;sentences;το σπίτι είναι πολύ όμορφο;Das Haus ist sehr schön;to spiti ine poli omorfo;το σπίτι είναι πολύ όμορφο
greek;202;sentence;sentences;βλέπω μια ταινία;Ich sehe einen Film;vlepo mia tenia;σήμερα βλέπω μια ταινία
greek;203;sentence;sentences;ακούω μουσική;Ich höre Musik;akouo mousiki;κάθε βράδυ ακούω μουσική
greek;204;sentence;sentences;δουλεύω πολύ σήμερα;Ich arbeite heute viel;doulevo poli simera;δουλεύω πολύ σήμερα
greek;205;sentence;sentences;παίζω με τους φίλους μου;Ich spiele mit meinen Freunden;pezo me tous filous mou;κάθε μέρα παίζω με τους φίλους μου
